movie id,minority index
242,-0.071867891
302,0.03614033
377,-0.257142857
51,-0.048927982
346,0.125319366
474,-0.010394061
265,-0.048904526
465,-0.082657201
451,-0.163220577
86,-0.037053705
257,0.035690153
1014,-0.069094037
222,-0.057142857
40,-0.228934817
29,-0.200210748
785,-0.120188531
387,-0.068082789
274,-0.070584262
1042,-0.12987013
1184,1.875
392,-0.142469136
486,-0.065263158
144,0.049620991
118,-0.016296296
1,0.031661373
546,-0.070492678
95,-0.047263948
768,-0.173913043
277,-0.09026465
234,0.0713246
246,0.030803842
98,-0.009418902
193,-0.035622685
88,-0.043159066
194,0.030743645
1081,-0.095238095
603,0.01106383
796,-0.003529412
32,0.179680697
16,-0.017369727
304,-0.01188667
979,-0.165591398
564,0.020833333
327,0.106751399
201,0.111550633
1137,0.200980392
241,0.03021978
4,0.056312769
332,-0.08988764
100,0.046076789
432,-0.074732669
322,-0.01155839
181,-5.78E-05
196,-0.002319207
679,0.210606061
384,-0.094339623
143,-0.143118786
423,-0.002108459
515,0.031661869
20,-0.069767442
288,0.042159495
219,-0.050837321
526,0.167083855
919,-0.0625
26,0.106382979
232,-0.008116883
427,-0.018666667
512,0.023002421
15,-0.061880679
1049,-0.058823529
416,0.010309278
165,0.078881988
690,-0.090594059
248,0.023422251
1444,0.022727273
5,-0.167545181
229,0.075862069
237,-0.005078773
480,0.048535936
54,0.009175843
366,-0.205305652
518,0.085171569
403,-0.021590909
111,-0.08651237
625,-0.115416667
338,-0.053150685
25,-0.088303255
1016,-0.039266055
154,0.068390153
275,-0.08794998
1153,-0.231372549
498,0.061403509
382,-0.029201817
209,0.005345622
23,-0.014692378
294,0.026116226
208,-0.02479215
685,-0.072561404
328,-0.004729289
496,-0.052279621
132,-0.02746117
174,0.053211737
96,0.05538517
151,-0.045033634
307,-0.004872252
648,0.030149254
21,-0.178801843
832,-0.116883117
514,-0.029411765
789,0.225
485,-0.149993231
317,-0.057108864
195,0.145523256
200,0.000595533
385,0.022648084
750,-0.00976431
264,0.213425129
245,-0.020974218
135,0.175506244
1147,-0.066985646
471,-0.04315376
658,-0.08012487
140,-0.106902087
379,-0.173745174
815,-0.117225106
479,0.056756053
368,-0.267734554
1211,-0.133333333
1134,0.117647059
836,-0.13368984
272,-0.030512555
756,-0.125727989
787,0.015625
14,0.028037383
955,0.091212458
419,-0.025137741
405,-0.064241486
504,-0.05003127
466,0.068292683
268,-0.003843761
117,-0.063152076
273,0.052307692
559,-0.031737104
794,-0.142857143
323,-0.050925177
177,0.239345325
231,-0.082977208
2,-0.056361607
137,0.084566596
1336,0.047619048
164,-0.071954275
281,-0.059851852
1240,0.146853147
298,-0.0169279
443,0.014887436
1035,-0.148648649
79,-0.037272727
258,0.043580326
455,0.120242114
755,-0.053295933
673,0.034121235
172,0.075656578
1217,-0.050505051
719,-0.043478261
1267,0.244444444
930,-0.071556351
216,-0.02799506
1079,0.152777778
452,-0.055
61,0.164465786
48,-0.067307692
360,2.444444444
77,0.000147384
476,-0.214505431
483,0.016682785
748,-0.052089215
220,-0.202020202
255,-0.013185841
280,-0.041523679
202,0.055445621
408,-0.036534702
235,0.034018762
228,0.15838202
1098,0.167420814
347,0.081449415
178,0.022113022
478,-0.055961071
688,-0.1
10,0.045828437
127,0.048648932
106,-0.013059701
69,0.028634422
944,-0.186147186
790,-0.123989218
1091,-0.026186579
214,0.094785364
1028,-0.158778626
554,0.293639675
109,0.033928571
171,0.1
318,-0.04889338
568,-0.024176202
842,-0.064236111
65,-0.050632911
591,0.008205307
401,-0.150769231
339,-0.126060606
746,0.028151775
68,0.047710658
7,0.084334954
1018,0.338461538
218,0.014634146
623,-0.199343724
334,0.186910377
344,0.00625
145,0.053645833
56,0.046808511
89,0.048412021
141,0.110344828
576,-0.06650641
133,-0.097527473
153,0.00029036
813,-0.101694915
872,-0.008928571
146,-0.384615385
507,-0.087323944
367,-0.060449546
468,-0.077922078
595,-0.204545455
11,0.025245902
520,0.046023284
82,0.038989591
501,-0.059265521
3,0.156505343
695,0.244444444
198,0.027911164
189,-0.044705882
767,0.111111111
705,0.056392596
64,-0.033214487
357,0.044176707
484,0.09032967
508,0.058844257
303,0.010893246
215,-0.043323374
749,-0.186013986
829,-0.064
204,0.024166099
1295,-0.2
33,0.023538961
160,0.121080139
321,0.047274979
343,0.095652174
227,0.038812785
191,0.042608541
903,0.272189349
183,0.126393358
724,0.000198768
430,0.115413254
1197,0.024630542
134,0.02600092
751,0.022337148
212,0.036293436
256,-0.045454545
662,0.062722337
984,-0.010989011
1067,0.175438596
410,0.163815789
879,-0.128177197
271,0.105222902
1086,-0.151193634
649,0.128205128
951,-0.03686088
197,-0.046722689
678,-0.122046815
199,0.168753727
709,0.021829627
169,0.006318681
597,-0.038936372
1393,-0.2
333,0.041838134
1115,0.051383399
577,0.043137255
378,0.005291005
425,-0.036963037
959,-0.011904762
1224,0.19047619
1017,0.111111111
175,0.065975143
286,-0.058433207
558,0.001748252
66,-0.037914692
206,0.097142857
402,-0.136363636
640,0.409130817
522,0.052362708
62,0.01146789
12,0.015167931
291,-0.03125
462,0.019753086
612,-0.019230769
758,-0.090909091
845,-0.078986587
