user id,unknown,Action,Adventure,Animation,Children's,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western
1,0.5263157894736842,1346.7894736842106,723.8421052631579,189.73684210526315,378.0,1570.1052631578948,423.94736842105266,39.89473684210526,2099.7368421052633,71.15789473684211,91.21052631578948,279.8421052631579,260.7368421052632,276.05263157894734,1024.2631578947369,670.0,1151.157894736842,494.63157894736844,97.52631578947368
2,0.625,1599.3125,859.5625,225.3125,448.875,1864.5,503.4375,47.375,2493.4375,84.5,108.3125,332.3125,309.625,327.8125,1216.3125,795.625,1367.0,587.375,115.8125
3,0.7142857142857143,1827.7857142857142,982.3571428571429,257.5,513.0,2130.8571428571427,575.3571428571429,54.142857142857146,2849.6428571428573,96.57142857142857,123.78571428571429,379.7857142857143,353.85714285714283,374.64285714285717,1390.0714285714287,909.2857142857143,1562.2857142857142,671.2857142857143,132.35714285714286
4,0.7692307692307693,1968.3846153846155,1057.923076923077,277.3076923076923,552.4615384615385,2294.769230769231,619.6153846153846,58.30769230769231,3068.846153846154,104.0,133.30769230769232,409.0,381.0769230769231,403.46153846153845,1497.0,979.2307692307693,1682.4615384615386,722.9230769230769,142.53846153846155
5,0.5555555555555556,1421.611111111111,764.0555555555555,200.27777777777777,399.0,1657.3333333333333,447.5,42.111111111111114,2216.3888888888887,75.11111111111111,96.27777777777777,295.3888888888889,275.22222222222223,291.3888888888889,1081.1666666666667,707.2222222222222,1215.111111111111,522.1111111111111,102.94444444444444
6,0.5555555555555556,1421.611111111111,764.0555555555555,200.27777777777777,399.0,1657.3333333333333,447.5,42.111111111111114,2216.3888888888887,75.11111111111111,96.27777777777777,295.3888888888889,275.22222222222223,291.3888888888889,1081.1666666666667,707.2222222222222,1215.111111111111,522.1111111111111,102.94444444444444
7,0.5555555555555556,1421.611111111111,764.0555555555555,200.27777777777777,399.0,1657.3333333333333,447.5,42.111111111111114,2216.3888888888887,75.11111111111111,96.27777777777777,295.3888888888889,275.22222222222223,291.3888888888889,1081.1666666666667,707.2222222222222,1215.111111111111,522.1111111111111,102.94444444444444
8,0.7142857142857143,1827.7857142857142,982.3571428571429,257.5,513.0,2130.8571428571427,575.3571428571429,54.142857142857146,2849.6428571428573,96.57142857142857,123.78571428571429,379.7857142857143,353.85714285714283,374.64285714285717,1390.0714285714287,909.2857142857143,1562.2857142857142,671.2857142857143,132.35714285714286
9,0.9090909090909091,2326.2727272727275,1250.2727272727273,327.72727272727275,652.9090909090909,2712.0,732.2727272727273,68.9090909090909,3626.818181818182,122.9090909090909,157.54545454545453,483.3636363636364,450.3636363636364,476.8181818181818,1769.1818181818182,1157.2727272727273,1988.3636363636363,854.3636363636364,168.45454545454547
10,0.5555555555555556,1421.611111111111,764.0555555555555,200.27777777777777,399.0,1657.3333333333333,447.5,42.111111111111114,2216.3888888888887,75.11111111111111,96.27777777777777,295.3888888888889,275.22222222222223,291.3888888888889,1081.1666666666667,707.2222222222222,1215.111111111111,522.1111111111111,102.94444444444444
